Destination_IP,Latitude,Longitude
104.25.218.21,37.751,-97.822
52.55.113.175,39.0481,-77.4728
172.217.6.232,37.4192,-122.0574
128.121.22.158,41.0138,-74.1228
129.21.102.193,43.0899,-77.6376
129.21.113.246,43.0899,-77.6376
129.21.115.27,43.0899,-77.6376
129.21.137.0,43.0899,-77.6376
129.21.126.129,43.0899,-77.6376
129.21.60.179,43.0899,-77.6376
172.217.10.98,37.4192,-122.0574
104.16.228.100,37.751,-97.822
104.16.94.65,37.751,-97.822
129.21.3.17,43.0899,-77.6376
172.217.10.110,37.4192,-122.0574
173.194.68.103,37.4192,-122.0574
172.217.10.99,37.4192,-122.0574
172.217.10.97,37.4192,-122.0574
104.16.60.37,37.751,-97.822
151.101.20.133,40.7143,-74.006
104.16.10.231,37.751,-97.822
104.16.12.231,37.751,-97.822
151.101.21.147,40.7143,-74.006
98.139.180.180,37.4249,-122.0074
69.147.82.60,37.4249,-122.0074
63.250.200.63,37.4249,-122.0074
98.137.201.232,37.4249,-122.0074
72.30.196.161,37.4249,-122.0074
98.139.199.205,37.4249,-122.0074
76.13.28.70,37.4249,-122.0074
69.147.82.61,37.4249,-122.0074
162.208.22.34,37.7909,-122.4017
52.84.40.198,47.6344,-122.3422
199.96.57.6,37.7758,-122.4128
23.208.26.242,42.3626,-71.0843
199.38.164.55,37.4914,-122.211
72.30.3.43,37.4249,-122.0074
198.8.70.210,37.5331,-122.2471
98.139.225.168,40.7625,-73.9503
172.217.6.194,37.4192,-122.0574
172.217.10.102,37.4192,-122.0574
72.30.2.182,37.4249,-122.0074
104.31.64.115,37.751,-97.822
76.13.28.196,37.4249,-122.0074
204.79.197.203,47.6801,-122.1206
204.79.197.200,47.6801,-122.1206
199.109.99.141,43.044,-76.1518
192.229.211.36,37.751,-97.822
129.21.4.18,43.0899,-77.6376
40.114.54.223,38.7163,-78.1704
65.52.108.11,36.6648,-78.3715
199.16.156.52,37.7758,-122.4128
74.6.137.78,37.4249,-122.0074
151.101.118.2,42.3584,-71.0598
23.194.109.198,42.3626,-71.0843
131.253.61.82,37.751,-97.822
23.21.72.203,39.0481,-77.4728
34.199.33.66,39.0481,-77.4728
23.21.216.142,39.0481,-77.4728
172.217.9.226,37.4192,-122.0574
68.67.178.197,40.7391,-73.9826
172.217.6.226,37.4192,-122.0574
172.217.3.110,37.4192,-122.0574
172.217.10.101,37.4192,-122.0574
172.217.10.109,37.4192,-122.0574
23.194.181.130,42.3626,-71.0843
192.229.173.242,37.751,-97.822
216.58.219.238,37.4192,-122.0574
216.58.219.227,37.4192,-122.0574
216.58.212.131,37.4192,-122.0574
151.101.1.69,37.7697,-122.3933
173.194.66.189,37.4192,-122.0574
162.125.18.133,37.7697,-122.3933
104.24.3.77,37.751,-97.822
173.194.175.188,37.4192,-122.0574
172.217.10.106,37.4192,-122.0574
151.101.20.84,40.7143,-74.006
54.231.121.19,39.0481,-77.4728
31.13.71.1,53.3472,-6.2439
31.13.71.7,53.3472,-6.2439
31.13.71.37,53.3472,-6.2439
31.13.71.36,53.3472,-6.2439
31.13.71.14,53.3472,-6.2439
172.217.10.104,37.4192,-122.0574
151.101.116.201,42.3584,-71.0598
173.194.66.154,37.4192,-122.0574
151.101.116.84,42.3584,-71.0598
52.21.143.26,39.0481,-77.4728
151.101.118.110,42.3584,-71.0598
162.247.242.21,37.751,-97.822
129.21.75.255,43.0899,-77.6376
